City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kulhudhuffushi,0,MV,1554188590,100,6.62,73.07,83.2,1.95
Zavodskoy,90,RU,1554186600,75,43.1,44.65,42.8,6.71
Rosarito,88,CO,1554188591,90,4.91,-75.23,65.56,2.39
Gweta,0,BW,1554188591,42,-20.21,25.26,71.5,11.23
Udachnyy,76,RU,1554188592,74,66.42,112.4,37.3,4.97
Axim,0,GH,1554188592,100,4.87,-2.24,81.94,8.88
Kupang,40,ID,1554186600,66,-10.16,123.6,89.6,11.41
Alberton,40,ZA,1554188532,82,-26.25,28.13,66,5.82
Rosetta,40,EG,1554184800,82,31.4,30.42,57.2,6.93
Morwell,24,AU,1554188416,50,-38.24,146.4,78.01,3.4
Anloga,75,GH,1554184800,88,5.79,0.9,82.4,6.93
Kununurra,8,AU,1554186600,13,-15.77,128.74,96.8,9.17
Jorhat,40,IN,1554186600,65,26.76,94.21,78.8,2.24
Yuryev-Polskiy,0,RU,1554188597,95,56.5,39.68,31.27,7.87
Vaitape,64,PF,1554188598,100,-16.52,-151.75,83.83,1.39
Sosua,40,DO,1554188498,88,19.77,-70.52,75.99,9.44
Navalcarnero,0,ES,1554188559,87,40.29,-4.01,51.01,2.24
Lixourion,0,GR,1554188470,100,38.2,20.43,62.01,5.64
Ust-Tsilma,12,RU,1554188599,67,65.44,52.15,30.64,9.22
Killin,1,US,1554188537,86,33.61,-91.74,39.2,5.82
Lewiston,75,US,1554188429,43,46.42,-117.02,51.8,4.7
Aklavik,20,CA,1554184800,84,68.22,-135.01,5,6.93
Krasnokamensk,8,RU,1554188602,19,50.1,118.04,43.42,10.22
Vikulovo,0,RU,1554188602,97,55.07,40.96,32.8,10.45
Cap-aux-Meules,0,CA,1554188602,93,47.38,-61.86,29.74,33.93
Caracollo,92,PE,1554188603,100,-14.92,-70.66,38.11,1.95
Russell,0,AR,1554184800,72,-33.01,-68.8,64.4,3.36
Monster,36,NL,1554188586,76,52.03,4.17,51.01,3.36
Tshane,20,BW,1554188605,75,-24.02,21.87,64.12,8.43
Mogadishu,75,SO,1554184800,62,2.04,45.34,87.8,13.87
Zlocieniec,0,PL,1554188381,49,53.53,16.01,42.01,8.01
Monrovia,75,LR,1554188400,83,6.33,-10.8,71.6,3.36
Celendin,36,PE,1554188606,93,-6.87,-78.15,56.02,1.72
Codrington,75,AU,1554188451,93,-28.95,153.24,66.2,6.93
Atbasar,0,KZ,1554188607,88,51.81,68.36,48.01,4.74
Kalinovskaya,90,RU,1554186600,81,43.57,45.52,46.4,15.66
Smithers,1,CA,1554184800,74,54.78,-127.17,33.8,3.36
Pasighat,92,IN,1554188375,98,28.06,95.33,57.64,1.39
Egvekinot,0,RU,1554188608,93,66.32,-179.17,24.7,2.39
Ayagoz,80,KZ,1554188609,66,47.96,80.43,53.77,6.87
Obihiro,75,JP,1554184800,74,42.92,143.2,33.8,5.82
Gazli,24,UZ,1554188609,52,40.13,63.45,64.21,16.49
Novichikha,0,RU,1554188610,53,52.2,81.39,59.8,8.77
Puntarenas,0,CR,1554184800,68,9.98,-84.84,71.6,11.41
Chumikan,8,RU,1554188611,53,54.72,135.31,37.21,4.41
Luderitz,0,NA,1554188611,80,-26.65,15.16,57.28,13.8
Sorochinsk,92,RU,1554188611,88,52.43,53.15,43.78,5.19
Yarmolyntsi,0,UA,1554188612,64,49.19,26.84,34.24,8.1
Leeton,0,AU,1554184800,31,-34.55,146.4,81,9.17
Rome,0,IT,1554188372,76,41.89,12.48,57.99,3.36
Koyelga,88,RU,1554188613,92,54.65,60.9,39.46,4.97
Mogapi,0,BW,1554184800,64,-22.32,27.84,75.2,19.62
Vredendal,0,ZA,1554188615,84,-31.68,18.49,47.38,5.08
Kontagora,0,NG,1554188615,40,10.4,5.47,72.94,7.54
Shingu,40,JP,1554184800,34,33.72,135.99,53.6,20.8
Salisbury,75,GB,1554188544,93,51.07,-1.8,46,2.24
Wageningen,40,NL,1554188586,70,51.98,5.66,51.01,8.05
Gillette,40,US,1554188005,92,44.29,-105.5,30.99,5.82
Ankara,75,TR,1554188168,45,39.92,32.85,45,4.7
Lima,40,PE,1554188402,88,-12.06,-77.04,69.8,9.17
Dumas,20,IN,1554186600,66,21.09,72.71,86,5.82
Uusikaupunki,0,FI,1554186000,80,60.8,21.41,35.6,9.17
Vostok,80,RU,1554188621,55,46.45,135.83,30.73,4.41
Mackenzie,1,CA,1554184800,79,55.34,-123.09,28.4,2.24
Ukiah,90,US,1554188525,76,39.15,-123.21,55.4,3.36
Redmond,1,US,1554187822,47,47.67,-122.12,57.2,5.75
Vanimo,12,PG,1554188622,98,-2.67,141.3,84.01,18.61
Sangar,36,RU,1554188349,54,63.92,127.47,35.14,2.84
Jinchang,12,CN,1554188623,74,38.52,102.19,47.02,7.31
Aksu,0,KZ,1554186600,57,52.04,76.93,55.4,8.95
Vestmanna,56,FO,1554186000,100,62.16,-7.17,32,2.24
Bitung,40,ID,1554186600,56,1.44,125.19,93.2,8.05
Moree,75,AU,1554188460,26,-29.46,149.84,84.2,10.29
Portland,90,US,1554188080,51,45.52,-122.67,59,3.36
